code,name,trading_value,open_price,high_price,low_price,close_price
00411A,主動統一前沿科技,163955195,9.9,9.97,9.88,9.91
006201,元大富櫃50,11664718,45.45,45.68,44.2,44.34
00679B,元大美債20年,382767757,25.58,25.63,25.52,25.52
00687B,國泰20年美債,274393727,26.6,26.63,26.52,26.54
00687C,國泰20年美債+櫃U,224500,8.98,8.98,8.98,8.98
00694B,富邦美債1-3,5085901,41.65,41.76,41.65,41.73
00695B,富邦美債7-10,6750773,34.15,34.25,34.15,34.23
00696B,富邦美債20年,22152026,27.86,27.92,27.8,27.8
00697B,元大美債7-10,15089929,34.74,34.83,34.74,34.79
00719B,元大美債1-3,71899737,31.03,31.07,31.03,31.07
00720B,元大投資級公司債,94915730,31.86,31.94,31.79,31.79
00722B,群益投資級電信債,87070711,34.15,34.29,34.15,34.16
00723B,群益投資級科技債,4487095,29.25,29.44,29.25,29.29
00724B,群益投資級金融債,115254255,32.44,32.57,32.44,32.46
00725B,國泰投資級公司債,71954797,33.91,34.0,33.84,33.88
00726B,國泰新興投等債,5275191,31.88,31.93,31.82,31.82
00727B,國泰優選非投等債,5012174,39.33,39.38,39.32,39.32
00734B,台新JPM新興債,3799483,15.32,15.32,15.31,15.31
00740B,富邦全球投等債,63219900,37.2,37.2,37.05,37.05
00741B,富邦全球非投等債,4374547,36.97,37.0,36.96,36.96
00746B,富邦A級公司債,7939860,34.23,34.23,34.14,34.15
00749B,凱基新興債10+,3086525,30.54,30.56,30.54,30.56
00750B,凱基科技債10+,3163000,31.63,31.63,31.63,31.63
00751B,元大AAA至A公司債,116297668,30.31,30.38,30.25,30.26
00754B,群益AAA-AA公司債,3263602,31.47,31.47,31.37,31.38
00755B,群益投資級公用債,4216184,31.24,31.49,31.24,31.41
00756B,群益投等新興公債,5384153,29.92,30.0,29.89,29.89
00758B,復華能源債,4998000,49.98,49.98,49.98,49.98
00759B,復華製藥債,5349697,52.45,52.45,52.35,52.35
00760B,復華新興企業債,6352402,51.55,51.8,51.5,51.8
00761B,國泰A級公司債,8645627,32.9,32.91,32.83,32.83
00764B,群益25年美債,91964022,26.53,26.56,26.45,26.45
00768B,復華20年美債,68935069,47.52,47.68,47.5,47.5
00772B,中信高評級公司債,45745051,32.12,32.24,32.11,32.11
00773B,中信優先金融債,59756067,34.31,34.37,34.29,34.3
00777B,凱基AAA至A公司債,3159950,30.94,31.01,30.94,31.01
00778B,凱基金融債20+,3353660,32.85,32.88,32.81,32.88
00779B,凱基美債25+,8506930,26.75,26.8,26.71,26.71
00780B,國泰A級金融債,4175629,35.97,36.0,35.95,36.0
00781B,國泰A級科技債,8357599,26.44,26.66,26.44,26.54
00782B,國泰A級公用債,9357295,29.26,29.26,29.2,29.2
00785B,富邦金融投等債,1694603,33.54,33.54,33.54,33.54
00786B,元大10年IG銀行債,1526134,31.54,31.54,31.35,31.42
00787B,元大10年IG醫療債,46902,31.58,31.58,31.58,31.58
00788B,元大10年IG電能債,733503,28.94,28.98,28.94,28.94
00789B,復華公司債A3,4692491,45.99,45.99,45.99,45.99
