code,name,trading_value
00400A,主動國泰動能高息,621924604
00401A,主動摩根台灣鑫收,41696359
00402A,主動安聯美國科技,28758487
00403A,主動統一升級50,4472390014
00404A,主動聯博動能50,54665878
00405A,主動富邦台灣龍耀,674344943
00406A,主動中信台灣收益,1732910241
00407A,主動凱基台灣,939722920
00408A,主動第一金優股息,24339167
00410A,主動永豐科技趨勢,152151320
0050,元大台灣50,8369173993
0051,元大中型100,5008629
0052,富邦科技,951382135
0053,元大電子,10896245
0055,元大MSCI金融,13965920
0056,元大高股息,1040682170
0057,富邦摩台,4012242
0061,元大寶滬深,1250599
006203,元大MSCI台灣,2422505
006204,永豐臺灣加權,5711603
006205,富邦上証,3898135
006206,元大上證50,271249
006207,復華滬深,3423975
006208,富邦台50,511939492
00625K,富邦上証+R,0
00631L,元大台灣50正2,4716475260
00632R,元大台灣50反1,1102103481
00633L,富邦上証正2,44938780
00634R,富邦上証反1,44021
00635U,期元大S&P黃金,168968356
00636,國泰中國A50,18222132
00636K,國泰中國A50+U,1758
00637L,元大滬深300正2,162267411
00638R,元大滬深300反1,118760
00639,富邦深100,4021435
00640L,富邦日本正2,8013083
00641R,富邦日本反1,4373973
00642U,期元大S&P石油,33500822
00643,群益深証中小,46910718
00643K,群益深証中小+R,0
00645,富邦日本,4193434
00646,元大S&P500,311718155
00647L,元大S&P500正2,3269646
00648R,元大S&P500反1,6150299
00650L,復華香港正2,27260265
00651R,復華香港反1,536751
00652,富邦印度,3989063
00653L,富邦印度正2,2146984
00654R,富邦印度反1,422200
00655L,國泰中國A50正2,13328727
00656R,國泰中國A50反1,6685672
00657,國泰日經225,2879492
00657K,國泰日經225+U,4960
00660,元大歐洲50,373318
00661,元大日經225,3054046
00662,富邦NASDAQ,259012034
00663L,國泰臺灣加權正2,551029861
00664R,國泰臺灣加權反1,32505489
00665L,富邦恒生國企正2,116217870
00666R,富邦恒生國企反1,14375
00668,國泰美國道瓊,496016
00668K,國泰美國道瓊+U,3926
00669R,國泰美國道瓊反1,1779875
00670L,富邦NASDAQ正2,105291627
00671R,富邦NASDAQ反1,33956262
00673R,期元大S&P原油反1,162774451
00674R,期元大S&P黃金反1,4407948
00675L,富邦臺灣加權正2,217950589
00676R,富邦臺灣加權反1,21531981
00678,群益那斯達克生技,14486873
00680L,元大美債20正2,26071667
00681R,元大美債20反1,43151
00682U,期元大美元指數,61260
00683L,期元大美元指正2,3711
00684R,期元大美元指反1,0
00685L,群益臺灣加權正2,2000689985
00686R,群益臺灣加權反1,7309248
00688L,國泰20年美債正2,10567040
00689R,國泰20年美債反1,2278590
00690,兆豐藍籌30,28056832
00692,富邦公司治理,39936490
00693U,期街口S&P黃豆,30848480
00700,富邦恒生國企,3140789
00701,國泰股利精選30,24620757
00702,國泰標普低波高息,1154269
00703,台新MSCI中國,1314040
00706L,期元大S&P日圓正2,13627267
00707R,期元大S&P日圓反1,0
00708L,期元大S&P黃金正2,456136756
00709,富邦歐洲,1741559
00710B,復華彭博非投等債,4861948
00711B,復華彭博新興債,1661689
00712,復華富時不動產,303000838
00713,元大台灣高息低波,138766493
00714,群益道瓊美國地產,1814388
00715L,期街口布蘭特正2,206541715
00717,富邦美國特別股,602401
00728,第一金工業30,55053850
00730,富邦臺灣優質高息,1482804
00731,復華富時高息低波,56763431
00733,富邦臺灣中小,12972918
00735,國泰臺韓科技,182802437
00736,國泰新興市場,3344101
00737,國泰AI機器人,21617872
00738U,期元大道瓊白銀,137713317
00739,元大MSCI A股,1292351
00752,中信中國50,20119889
00753L,中信中國50正2,52310320
00757,統一FANG+,211503211
00762,元大全球AI,24763599
00763U,期街口道瓊銅,7555125
00770,國泰北美科技,5518586
00771,元大US高息特別股,501650
00775B,台新投等債15+,2472000
00783,富邦中証500,1526910
00830,國泰費城半導體,577552489
00850,元大臺灣ESG永續,49353769
00851,台新全球AI,3023517
00852L,國泰美國道瓊正2,286400
00861,元大全球未來通訊,4343727
00865B,國泰US短期公債,143741954
00875,國泰網路資安,16916182
00876,元大全球5G,12715395
00878,國泰永續高股息,1135989176
00881,國泰台灣科技龍頭,1116092532
00882,中信中國高股息,46447106
00885,富邦越南,37201923
00891,中信關鍵半導體,306075238
00892,富邦台灣半導體,129644564
00893,國泰智能電動車,13446267
00894,中信小資高價30,43447340
00895,富邦未來車,29495317
00896,中信綠能及電動車,54938558
00897,富邦基因免疫生技,12802924
00898,國泰基因免疫革命,7788502
00899,FT潔淨能源,610489
00900,富邦特選高股息30,72743831
00901,永豐智能車供應鏈,6690530
00902,中信電池及儲能,4879348
00903,富邦元宇宙,3965306
00904,台新臺灣半導體30,29358253
00905,FT臺灣Smart,24153835
00907,永豐優息存股,15299335
00908,富邦入息REITs+,3379387
00909,國泰數位支付服務,87046779
00910,第一金太空衛星,32666520
00911,兆豐洲際半導體,25464510
00912,中信臺灣智慧50,4611041
00913,兆豐台灣晶圓製造,56559660
00915,凱基優選高股息30,34211864
00916,國泰全球品牌50,8189600
00917,中信特選金融,24246126
00918,大華優利高填息30,338999325
00919,群益台灣精選高息,1459796279
00920,富邦ESG綠色電力,3939725
00921,兆豐龍頭等權重,3136869
00922,國泰台灣領袖50,276956469
00923,群益台ESG低碳50,214145507
00924,復華S&P500成長,33751021
00926,凱基全球菁英55,5193080
00927,群益半導體收益,319434257
00929,復華台灣科技優息,502191932
00930,永豐ESG低碳高息,8238683
00932,兆豐永續高息等權,3971227
00934,中信成長高股息,59610895
00935,野村臺灣新科技50,681785631
00936,台新永續高息中小,7584222
