code,name,trading_value
00400A,主動國泰動能高息,371317097
00401A,主動摩根台灣鑫收,83973441
00402A,主動安聯美國科技,38723531
00403A,主動統一升級50,1945639396
00404A,主動聯博動能50,181937699
00405A,主動富邦台灣龍耀,526059620
00406A,主動中信台灣收益,1038116272
00407A,主動凱基台灣,320525007
00408A,主動第一金優股息,12110030
00409A,主動復華全球50,212013919
00410A,主動永豐科技趨勢,79969771
0050,元大台灣50,5077610781
0051,元大中型100,3212171
0052,富邦科技,769111593
0053,元大電子,12629695
0055,元大MSCI金融,45142839
0056,元大高股息,885399501
0057,富邦摩台,10846839
0061,元大寶滬深,1888166
006203,元大MSCI台灣,3225064
006204,永豐臺灣加權,9985404
006205,富邦上証,4532566
006206,元大上證50,427777
006207,復華滬深,3401881
006208,富邦台50,446728959
00625K,富邦上証+R,0
00631L,元大台灣50正2,4926636428
00632R,元大台灣50反1,720015275
00633L,富邦上証正2,59990311
00634R,富邦上証反1,447220
00635U,期元大S&P黃金,110868468
00636,國泰中國A50,1547727
00636K,國泰中國A50+U,1738
00637L,元大滬深300正2,220104388
00638R,元大滬深300反1,133020
00639,富邦深100,5590873
00640L,富邦日本正2,17994781
00641R,富邦日本反1,2625170
00642U,期元大S&P石油,48409121
00643,群益深証中小,26888050
00643K,群益深証中小+R,0
00645,富邦日本,9338335
00646,元大S&P500,198467460
00647L,元大S&P500正2,6301203
00648R,元大S&P500反1,328560
00650L,復華香港正2,19322025
00651R,復華香港反1,284428
00652,富邦印度,19093201
00653L,富邦印度正2,6765325
00654R,富邦印度反1,289440
00655L,國泰中國A50正2,20822459
00656R,國泰中國A50反1,58600
00657,國泰日經225,30956651
00657K,國泰日經225+U,4918
00660,元大歐洲50,299110
00661,元大日經225,4820137
00662,富邦NASDAQ,282824746
00663L,國泰臺灣加權正2,447171694
00664R,國泰臺灣加權反1,24191046
00665L,富邦恒生國企正2,80516585
00666R,富邦恒生國企反1,586848
00668,國泰美國道瓊,25174574
00668K,國泰美國道瓊+U,3866
00669R,國泰美國道瓊反1,2371370
00670L,富邦NASDAQ正2,79403798
00671R,富邦NASDAQ反1,7592524
00673R,期元大S&P原油反1,338925062
00674R,期元大S&P黃金反1,3981757
00675L,富邦臺灣加權正2,231880339
00676R,富邦臺灣加權反1,16720391
00678,群益那斯達克生技,11912185
00680L,元大美債20正2,28788791
00681R,元大美債20反1,108370
00682U,期元大美元指數,27530
00683L,期元大美元指正2,285314
00684R,期元大美元指反1,0
00685L,群益臺灣加權正2,1933718721
00686R,群益臺灣加權反1,2812249
00688L,國泰20年美債正2,7463345
00689R,國泰20年美債反1,45240
00690,兆豐藍籌30,13689794
00692,富邦公司治理,48280755
00693U,期街口S&P黃豆,11278621
00700,富邦恒生國企,3129676
00701,國泰股利精選30,29103618
00702,國泰標普低波高息,2872372
00703,台新MSCI中國,555220
00706L,期元大S&P日圓正2,20166500
00707R,期元大S&P日圓反1,124320
00708L,期元大S&P黃金正2,271036576
00709,富邦歐洲,646993
00710B,復華彭博非投等債,3014739
00711B,復華彭博新興債,1599678
00712,復華富時不動產,607273011
00713,元大台灣高息低波,212346075
00714,群益道瓊美國地產,3192149
00715L,期街口布蘭特正2,267902187
00717,富邦美國特別股,786810
00728,第一金工業30,10343249
00730,富邦臺灣優質高息,3780114
00731,復華富時高息低波,53718654
00733,富邦臺灣中小,14878462
00735,國泰臺韓科技,163488483
00736,國泰新興市場,1714707
00737,國泰AI機器人,4120969
00738U,期元大道瓊白銀,63618096
00739,元大MSCI A股,548932
00752,中信中國50,24246307
00753L,中信中國50正2,65043828
00757,統一FANG+,101433118
00762,元大全球AI,10291396
00763U,期街口道瓊銅,8308250
00770,國泰北美科技,82434053
00771,元大US高息特別股,277412
00775B,台新投等債15+,2499566
00783,富邦中証500,1284237
00830,國泰費城半導體,418467742
00850,元大臺灣ESG永續,27506691
00851,台新全球AI,3187797
00852L,國泰美國道瓊正2,3010458
00861,元大全球未來通訊,2047832
00865B,國泰US短期公債,106100873
00875,國泰網路資安,17493995
00876,元大全球5G,17457061
00878,國泰永續高股息,808252902
00881,國泰台灣科技龍頭,511440435
00882,中信中國高股息,37861482
00885,富邦越南,42753016
00891,中信關鍵半導體,469286583
00892,富邦台灣半導體,201516433
00893,國泰智能電動車,18054902
00894,中信小資高價30,34502120
00895,富邦未來車,11724046
00896,中信綠能及電動車,233555715
00897,富邦基因免疫生技,10221963
00898,國泰基因免疫革命,6744093
00899,FT潔淨能源,1798905
00900,富邦特選高股息30,79367513
00901,永豐智能車供應鏈,31256314
00902,中信電池及儲能,7613552
00903,富邦元宇宙,3080207
00904,台新臺灣半導體30,23119215
00905,FT臺灣Smart,22188645
00907,永豐優息存股,5743024
00908,富邦入息REITs+,931675
00909,國泰數位支付服務,69939344
00910,第一金太空衛星,42774894
00911,兆豐洲際半導體,4619316
00912,中信臺灣智慧50,6539131
00913,兆豐台灣晶圓製造,34929054
00915,凱基優選高股息30,52759722
00916,國泰全球品牌50,5467021
00917,中信特選金融,33266351
00918,大華優利高填息30,1837526641
00919,群益台灣精選高息,4176660505
00920,富邦ESG綠色電力,3064086
00921,兆豐龍頭等權重,4936765
00922,國泰台灣領袖50,166719574
00923,群益台ESG低碳50,95612569
00924,復華S&P500成長,27805091
00926,凱基全球菁英55,6006766
00927,群益半導體收益,316299994
00929,復華台灣科技優息,489280276
00930,永豐ESG低碳高息,24197827
00932,兆豐永續高息等權,7263026
00934,中信成長高股息,72480639
00935,野村臺灣新科技50,400777268
00936,台新永續高息中小,7185667
00938,凱基優選30,16780453
00939,統一台灣高息動能,55328749
00940,元大台灣價值高息,154578539
00941,中信上游半導體,27826651
00943,兆豐電子高息等權,4523836
00944,野村趨勢動能高息,1970369
00945B,凱基美國非投等債,62119538
00946,群益科技高息成長,16793960
00947,台新臺灣IC設計,151164063
00949,復華日本龍頭,5619195
00951,台新日本半導體,51188664
00952,凱基台灣AI50,48440224
00953B,群益優選非投等債,215566823
00954,中信日本半導體,28695337
00956,中信日經高股息,783919
00960,野村全球航運龍頭,20050932
00961,FT臺灣永續高息,231863044
00962,台新AI優息動能,41902069
00963,中信全球高股息,15738288
00964,中信亞太高股息,15126094
00965,元大航太防衛科技,15142202
00971,野村美國研發龍頭,3979788
00972,野村日本動能高息,598952
009800,中信NASDAQ,11944020
009801,中信美國創新科技,2342467
009802,富邦旗艦50,78814361
009803,玉山市值動能50,199606863
009804,聯邦台精彩50,19804543
009805,台新美國電力基建,66078843
009808,華南永昌優選50,3537874
009809,富邦淨零ESG50,1412135
00980A,主動野村臺灣優選,103886841
009810,玉山全球藍籌100,1586745
009811,統一美國50,8017836
009812,野村日本東證,4594636
009813,貝萊德標普卓越50,4621535
009816,凱基台灣TOP50,954773796
009817,國泰日本不動產,5675296
009818,華南永昌NASDAQxT,6093185
009819,中信數據及電力,35314843
00981A,主動統一台股增長,3802730586
00981T,平衡凱基雙核收息,16608645
009820,元大納斯達克精選,38168131
009821,野村稀土關鍵資源,54019865
009824,群益美國科技巨頭,44154440
009826,貝萊德世界股票,145316086
009827,玉山未來全球算力,68950158
009828,中信台日韓PCB,484642971
009829,大華韓國KOSPI50,272135326
00982A,主動群益台灣強棒,290724204
00982D,主動富邦動態入息,1548612
00982T,平衡兆豐台美動能,11225218
00983A,主動中信ARK創新,6764920
00983D,主動富邦複合收益,8768660
00984A,主動安聯台灣高息,39196627
00984D,主動聯博全球非投,87260989
00985A,主動野村台灣50,55517629
00985B,群益ESG投等債0-5,39176084
00986A,主動台新龍頭成長,875102
00987A,主動台新優勢成長,29581656
00988A,主動統一全球創新,326389811
00989A,主動摩根美國科技,5647126
00990A,主動元大AI新經濟,162910046
00991A,主動復華未來50,921702453
00991B,貝萊德A級公司債,2225899
00992A,主動群益科技創新,521607743
00993A,主動安聯台灣,63828007
00994A,主動第一金台股優,38187324
00995A,主動中信台灣卓越,63074413
00996A,主動兆豐台灣豐收,43920670
00997A,主動群益美國增長,73133595
00999A,主動野村臺灣高息,119052131
01001T,土銀富邦R1,1718360
01002T,土銀國泰R1,950120
01004T,土銀富邦R2,1226010
01007T,兆豐國泰R2,1218240
01009T,王道圓滿R1,5700
01010T,京城樂富R1,1558789
020000,富邦特選蘋果N,1616790
020011,統一微波高息20N,0
020012,富邦行動通訊N,23220
02001L,富邦蘋果正二N,18305450
020020,元大台股領航N,29560
020028,元大特選電動車N,865540
020029,元大ESG高股息N,643020
020030,統一智慧電動車N,300060
020031,統一IC設計臺灣N,0
020032,元大綠能N,20920
020034,元大IC設計N,496630
020036,元大金融配息N,0
020037,元大金融高股息N,0
020038,元大ESG配息N,231930
020039,元大加權N,45310
1101,台泥,833392019
1101B,台泥乙特,259336
1102,亞泥,374944138
1103,嘉泥,4293368
1104,環泥,12603398
1108,幸福,4501601
1109,信大,1485453
1110,東泥,952436
1201,味全,2582501
1203,味王,1104696
1210,大成,34310625
1213,大飲,42064
1215,卜蜂,27977211
1216,統一,648174713
1217,愛之味,2332692
1218,泰山,4466055
1219,福壽,2164466
1220,台榮,1030761
1225,福懋油,3188446
1227,佳格,6851286
1229,聯華,67791491
1231,聯華食,12939788
1232,大統益,10566644
1233,天仁,1040476
1234,黑松,2360546
1235,興泰,805728
1236,宏亞,322739
1256,鮮活果汁-KY,6171236
1301,台塑,1791467879
1303,南亞,16148619485
1304,台聚,53830443
1305,華夏,25049518
1307,三芳,11817665
1308,亞聚,33842506
1309,台達化,46833333
1310,台苯,34044002
1312,國喬,305679529
1312A,國喬特,0
1313,聯成,43482863
1314,中石化,148721602
1315,達新,1673838
1316,上曜,38286309
1319,東陽,72971820
1321,大洋,1713900
1323,永裕,851905
1324,地球,122667
1325,恆大,6563403
1326,台化,2685134038
1337,再生-KY,1006216
1338,廣華-KY,601433
1339,昭輝,971383
1340,勝悅-KY,392646
1341,富林-KY,239968
1342,八貫,10651448
1402,遠東新,180512616
1409,新纖,2347979683
1410,南染,5085729
1413,宏洲,43432
1414,東和,4738386
1416,廣豐,657811
1417,嘉裕,1145980
1418,東華,525297
1419,新紡,4371437
1423,利華,714673
1432,大魯閣,1486736
1434,福懋,24845997
1435,中福,277451
1436,華友聯,4215414
1437,勤益控,2104553
1438,三地開發,3128220
1439,雋揚,616966
1440,南紡,34832179
1441,大東,331674
1442,名軒,9496938
1443,立益物流,223771
1444,力麗,14059944
1445,大宇,1221960
1446,宏和,1033630
1447,力鵬,6155102
1449,佳和,2965412
1451,年興,1119096
1452,宏益,600203
1453,大將,98679
1454,台富,366440
1455,集盛,11265256
1456,怡華,310378
1457,宜進,1089716
1459,聯發,1560721
1460,宏遠,1122046
1463,強盛新,245340
1464,得力,4404447
1465,偉全,1381790
1466,聚隆,4507370
1467,南緯,663760
1468,昶和,571150
1470,大統新創,130407
1471,首利,2552079
1472,三洋實業,2689045
1473,台南,783646
1474,弘裕,339218
1475,業旺,1200926
1476,儒鴻,519524428
1477,聚陽,289272599
1503,士電,220813571
1504,東元,244239396
1506,正道,1421610
1512,瑞利,212038
1513,中興電,297898961
1514,亞力,125583031
1515,力山,17621421
1516,川飛,407326
1517,利奇,2301815
1519,華城,942455964
1521,大億,1472216
1522,堤維西,9536004
1522A,堤維西甲特,609600
1524,耿鼎,10846693
1525,江申,539339
1526,日馳,1328133
1527,鑽全,3553414
1528,恩德,146520649
1529,樂事綠能,4966310
1530,亞崴,473317
1531,高林股,238341
1532,勤美,9615901
1533,車王電,2593006
1535,中宇,2162583
1536,和大,31223860
1537,廣隆,5366015
1538,正峰,178790
1539,巨庭,270150
1540,喬福,1367275
1541,錩泰,129177
1558,伸興,14120524
1560,中砂,721965206
1563,巧新,81571604
1568,倉佑,2514113
1582,信錦,22952698
1583,程泰,838388
1587,吉茂,3622087
1590,亞德客-KY,1635441505
1597,直得,601558951
1598,岱宇,14784993
1603,華電,4825883
1604,聲寶,4278859
1605,華新,532621580
1608,華榮,115136257
1609,大亞,155888527
1611,中電,6362674
1612,宏泰,33060604
1614,三洋電,1901691
1615,大山,3383719
1616,億泰,34926296
1617,榮星,5476455
1618,合機,9782247
1623,大東電,73125559
1626,艾美特-KY,403466
1702,南僑,2714862
1707,葡萄王,25386658
1708,東鹼,69815446
1709,和益,483857499
1710,東聯,79238580
1711,永光,82722038
1712,興農,20990416
1713,國化,40682270
1714,和桐,125414906
1717,長興,438602961
1718,中纖,236797355
1720,生達,12329855
1721,國慶科技,117683349
1722,台肥,160920144
1723,中碳,57328621
1725,元禎,2868009
1726,永記,1940730
1727,中華化,137985835
1730,花仙子,1125484
1731,美吾華,1264016
1732,毛寶,1680955
1733,五鼎,2134582
1734,杏輝,5219982
1735,日勝化,642823
1736,喬山,92912909
1737,臺鹽,5199712
1752,南光,1246341
1760,寶齡富錦,2009310
1762,中化生,6526034
1773,勝一,57126072
1776,展宇,612281
1783,和康生,2303428
1786,科妍,16478190
1789,神隆,4940359
1795,美時,128018123
1802,台玻,716855912
1805,寶徠,292919
1806,冠軍,909498
1808,潤隆,90465213
1809,中釉,75659747
1810,和成,27604851
1817,凱撒衛,849657
1903,士紙,691563
1904,正隆,38021283
1905,華紙,15538729
1906,寶隆,513517
1907,永豐餘,19641002
1909,榮成,30800073
2002,中鋼,640673508
2002A,中鋼特,615698
2006,東和鋼鐵,80880428
2007,燁興,1264038
2008,高興昌,508435
2009,第一銅,157453892
2010,春源,14311178
2012,春雨,495773
2013,中鋼構,2539032
2014,中鴻,26124478
2015,豐興,3761133
2017,官田鋼,2456598
2020,美亞,3766659
2022,聚亨,1757168
2023,燁輝,9174388
2024,志聯,39849
2025,千興,2400210
2027,大成鋼,693529884
2028,威致,488089
2029,盛餘,5985283
2030,彰源,52894102
2031,新光鋼,17383527
2032,新鋼,3807742
2033,佳大,47636570
2034,允強,20892807
2038,海光,1308464
2049,上銀,3193641528
2059,川湖,5898735580
2062,橋椿,12358091
2069,運錩,86801871
2072,世紀風電,26054537
2101,南港,42383224
2102,泰豐,6280572
2103,台橡,107519394
2104,國際中橡,109590486
2105,正新,90469239
2106,建大,13451565
2107,厚生,8617379
2108,南帝,12634079
2109,華豐,947790
2114,鑫永銓,835253
2115,六暉-KY,4436451
2201,裕隆,70498220
2204,中華,19625921
2206,三陽工業,36793047
2207,和泰車,72176548
2208,台船,26078094
2211,長榮鋼,28564931
2227,裕日車,869980
2228,劍麟,9099551
2231,為升,10657885
2233,宇隆,112251366
2236,百達-KY,25075836
2237,華德動能-創,7391672
2239,英利-KY,675350
2241,艾姆勒,4404577
2243,宏旭-KY,24091596
2247,汎德永業,3752560
2248,華勝-KY,2548704
2250,IKKA-KY,2127270
