code,name,trading_value
00400A,主動國泰動能高息,610555603
00401A,主動摩根台灣鑫收,77769207
00402A,主動安聯美國科技,26239892
00403A,主動統一升級50,3136816992
00404A,主動聯博動能50,174701249
00405A,主動富邦台灣龍耀,593666903
00406A,主動中信台灣收益,1237794324
00407A,主動凱基台灣,385225055
00408A,主動第一金優股息,12943502
00409A,主動復華全球50,355008259
00410A,主動永豐科技趨勢,109330051
0050,元大台灣50,11915554302
0051,元大中型100,14884539
0052,富邦科技,1459928178
0053,元大電子,9541900
0055,元大MSCI金融,46629996
0056,元大高股息,1360584601
0057,富邦摩台,5770095
0061,元大寶滬深,1240066
006203,元大MSCI台灣,5426579
006204,永豐臺灣加權,5473430
006205,富邦上証,7413571
006206,元大上證50,834648
006207,復華滬深,4145625
006208,富邦台50,971695729
00625K,富邦上証+R,0
00631L,元大台灣50正2,9519371947
00632R,元大台灣50反1,1602973124
00633L,富邦上証正2,84585054
00634R,富邦上証反1,321262
00635U,期元大S&P黃金,124540793
00636,國泰中國A50,5886827
00636K,國泰中國A50+U,1742
00637L,元大滬深300正2,213546530
00638R,元大滬深300反1,260073
00639,富邦深100,10427827
00640L,富邦日本正2,4259071
00641R,富邦日本反1,15260936
00642U,期元大S&P石油,51940642
00643,群益深証中小,49667251
00643K,群益深証中小+R,0
00645,富邦日本,11849559
00646,元大S&P500,327503261
00647L,元大S&P500正2,10653019
00648R,元大S&P500反1,1154726
00650L,復華香港正2,35370807
00651R,復華香港反1,1098004
00652,富邦印度,5161587
00653L,富邦印度正2,10882428
00654R,富邦印度反1,61290
00655L,國泰中國A50正2,22595429
00656R,國泰中國A50反1,211334
00657,國泰日經225,5539167
00657K,國泰日經225+U,4958
00660,元大歐洲50,450472
00661,元大日經225,6691853
00662,富邦NASDAQ,462525665
00663L,國泰臺灣加權正2,1019075420
00664R,國泰臺灣加權反1,35286260
00665L,富邦恒生國企正2,109650131
00666R,富邦恒生國企反1,339760
00668,國泰美國道瓊,1516883
00668K,國泰美國道瓊+U,3916
00669R,國泰美國道瓊反1,3302111
00670L,富邦NASDAQ正2,121433128
00671R,富邦NASDAQ反1,3924148
00673R,期元大S&P原油反1,468904576
00674R,期元大S&P黃金反1,3566910
00675L,富邦臺灣加權正2,580027230
00676R,富邦臺灣加權反1,62518577
00678,群益那斯達克生技,10692929
00680L,元大美債20正2,20758852
00681R,元大美債20反1,1388170
00682U,期元大美元指數,141
00683L,期元大美元指正2,1023225
00684R,期元大美元指反1,331
00685L,群益臺灣加權正2,3752129326
00686R,群益臺灣加權反1,8490639
00688L,國泰20年美債正2,18077735
00689R,國泰20年美債反1,6884100
00690,兆豐藍籌30,34120807
00692,富邦公司治理,96286228
00693U,期街口S&P黃豆,22969741
00700,富邦恒生國企,1949472
00701,國泰股利精選30,41298602
00702,國泰標普低波高息,2679672
00703,台新MSCI中國,714388
00706L,期元大S&P日圓正2,26126906
00707R,期元大S&P日圓反1,0
00708L,期元大S&P黃金正2,358549494
00709,富邦歐洲,784315
00710B,復華彭博非投等債,3965183
00711B,復華彭博新興債,1682689
00712,復華富時不動產,187729966
00713,元大台灣高息低波,360525612
00714,群益道瓊美國地產,439388
00715L,期街口布蘭特正2,303478379
00717,富邦美國特別股,716856
00728,第一金工業30,10439685
00730,富邦臺灣優質高息,4095879
00731,復華富時高息低波,61594430
00733,富邦臺灣中小,32620205
00735,國泰臺韓科技,278035555
00736,國泰新興市場,1743616
00737,國泰AI機器人,3001482
00738U,期元大道瓊白銀,105678069
00739,元大MSCI A股,719686
00752,中信中國50,21356224
00753L,中信中國50正2,67530248
00757,統一FANG+,85948874
00762,元大全球AI,24384743
00763U,期街口道瓊銅,6287564
00770,國泰北美科技,66983101
00771,元大US高息特別股,356210
00775B,台新投等債15+,2478710
00783,富邦中証500,177982
00830,國泰費城半導體,734760753
00850,元大臺灣ESG永續,76185800
00851,台新全球AI,509436
00852L,國泰美國道瓊正2,10441002
00861,元大全球未來通訊,6501492
00865B,國泰US短期公債,136468422
00875,國泰網路資安,3359763
00876,元大全球5G,21928634
00878,國泰永續高股息,1618056152
00881,國泰台灣科技龍頭,1266607040
00882,中信中國高股息,76970625
00885,富邦越南,72985153
00891,中信關鍵半導體,1027586843
00892,富邦台灣半導體,232935241
00893,國泰智能電動車,61216302
00894,中信小資高價30,66549387
00895,富邦未來車,19433761
00896,中信綠能及電動車,338306821
00897,富邦基因免疫生技,9972009
00898,國泰基因免疫革命,3717907
00899,FT潔淨能源,1557007
00900,富邦特選高股息30,77809978
00901,永豐智能車供應鏈,8130201
00902,中信電池及儲能,13486629
00903,富邦元宇宙,2902901
00904,台新臺灣半導體30,64561447
00905,FT臺灣Smart,40179830
00907,永豐優息存股,12893631
00908,富邦入息REITs+,1083046
00909,國泰數位支付服務,55969032
00910,第一金太空衛星,30562083
00911,兆豐洲際半導體,10850328
00912,中信臺灣智慧50,8522785
00913,兆豐台灣晶圓製造,144243658
00915,凱基優選高股息30,92382916
00916,國泰全球品牌50,8126803
00917,中信特選金融,15077941
00918,大華優利高填息30,5380835205
00919,群益台灣精選高息,5318839295
00920,富邦ESG綠色電力,2401016
00921,兆豐龍頭等權重,24421833
00922,國泰台灣領袖50,546607536
00923,群益台ESG低碳50,248361317
00924,復華S&P500成長,64500547
00926,凱基全球菁英55,13212655
00927,群益半導體收益,815263972
00929,復華台灣科技優息,725889405
00930,永豐ESG低碳高息,52552926
00932,兆豐永續高息等權,10607305
00934,中信成長高股息,63095754
00935,野村臺灣新科技50,1412014630
00936,台新永續高息中小,20324857
00938,凱基優選30,38563757
00939,統一台灣高息動能,131088712
00940,元大台灣價值高息,193692845
00941,中信上游半導體,16133886
00943,兆豐電子高息等權,7268166
00944,野村趨勢動能高息,6591147
00945B,凱基美國非投等債,148708616
00946,群益科技高息成長,31212315
00947,台新臺灣IC設計,305493245
00949,復華日本龍頭,5322167
00951,台新日本半導體,53838173
00952,凱基台灣AI50,25749036
00953B,群益優選非投等債,512363017
00954,中信日本半導體,52218218
00956,中信日經高股息,1607229
00960,野村全球航運龍頭,13453489
00961,FT臺灣永續高息,747241195
00962,台新AI優息動能,142656647
00963,中信全球高股息,10833959
00964,中信亞太高股息,39724464
00965,元大航太防衛科技,140605216
00971,野村美國研發龍頭,3905876
00972,野村日本動能高息,7783209
009800,中信NASDAQ,16184145
009801,中信美國創新科技,5005184
