code,name,trading_value
00400A,主動國泰動能高息,299539451
00401A,主動摩根台灣鑫收,112418850
00402A,主動安聯美國科技,36351770
00403A,主動統一升級50,1000197190
00404A,主動聯博動能50,267293034
00405A,主動富邦台灣龍耀,259183347
00406A,主動中信台灣收益,1352224156
00407A,主動凱基台灣,253951366
00408A,主動第一金優股息,25522388
00409A,主動復華全球50,189183934
00410A,主動永豐科技趨勢,64006939
0050,元大台灣50,4978974080
0051,元大中型100,3823394
0052,富邦科技,512720509
0053,元大電子,33160424
0055,元大MSCI金融,25222384
0056,元大高股息,809983259
0057,富邦摩台,2812360
0061,元大寶滬深,2451281
006203,元大MSCI台灣,2982955
006204,永豐臺灣加權,713870
006205,富邦上証,18770707
006206,元大上證50,1992108
006207,復華滬深,4524581
006208,富邦台50,438270680
00625K,富邦上証+R,0
00631L,元大台灣50正2,4214521571
00632R,元大台灣50反1,855952449
00633L,富邦上証正2,54816369
00634R,富邦上証反1,93840
00635U,期元大S&P黃金,72313808
00636,國泰中國A50,7146569
00636K,國泰中國A50+U,1740
00637L,元大滬深300正2,270366780
00638R,元大滬深300反1,252320
00639,富邦深100,12012309
00640L,富邦日本正2,6411077
00641R,富邦日本反1,2333896
00642U,期元大S&P石油,62699340
00643,群益深証中小,43174677
00643K,群益深証中小+R,0
00645,富邦日本,8355075
00646,元大S&P500,114961428
00647L,元大S&P500正2,10842792
00648R,元大S&P500反1,1605658
00650L,復華香港正2,40157109
00651R,復華香港反1,1067681
00652,富邦印度,3244750
00653L,富邦印度正2,6467015
00654R,富邦印度反1,220870
00655L,國泰中國A50正2,25335862
00656R,國泰中國A50反1,1279891
00657,國泰日經225,1159422
00657K,國泰日經225+U,4880
00660,元大歐洲50,322208
00661,元大日經225,4990739
00662,富邦NASDAQ,242904907
00663L,國泰臺灣加權正2,434349125
00664R,國泰臺灣加權反1,16786965
00665L,富邦恒生國企正2,110487320
00666R,富邦恒生國企反1,1558780
00668,國泰美國道瓊,429128
00668K,國泰美國道瓊+U,3834
00669R,國泰美國道瓊反1,3565924
00670L,富邦NASDAQ正2,63049404
00671R,富邦NASDAQ反1,11298566
00673R,期元大S&P原油反1,504954007
00674R,期元大S&P黃金反1,6259330
00675L,富邦臺灣加權正2,278583990
00676R,富邦臺灣加權反1,31600019
00678,群益那斯達克生技,18777253
00680L,元大美債20正2,47933314
00681R,元大美債20反1,130840
00682U,期元大美元指數,27111
00683L,期元大美元指正2,634972
00684R,期元大美元指反1,0
00685L,群益臺灣加權正2,2070973537
00686R,群益臺灣加權反1,4349404
00688L,國泰20年美債正2,15611444
00689R,國泰20年美債反1,159610
00690,兆豐藍籌30,19231809
00692,富邦公司治理,25749811
00693U,期街口S&P黃豆,14714860
00700,富邦恒生國企,9807268
00701,國泰股利精選30,21909975
00702,國泰標普低波高息,349510
00703,台新MSCI中國,134194
00706L,期元大S&P日圓正2,20448174
00707R,期元大S&P日圓反1,615
00708L,期元大S&P黃金正2,220525234
00709,富邦歐洲,559451
00710B,復華彭博非投等債,3214527
